title,company,location,job_type,salary,description
Junior Test Analyst,CloudStreet Consulting,Darwin NT,Contract,,"Conduct systems integration, functional, and data-focused testing • Create and execute test cases, troubleshoot failures, and report outcomes • Experience in manual testing, SQL databases, and automation testing"
Enterprise Integration Testers,Randstad,Canberra ACT,Contract,,Design and execute integration test plans in multi-system environments • Proficiency in Microsoft Azure services and CI/CD tools required • Bachelor's degree in Computer Science or related field needed
Enterprise Integration Tester,MTP Services,Canberra ACT,Contract,,"Design and execute integration test plans for APIs and services • Configure CI/CD pipelines, automate testing, and manage environments • Proficiency in Azure services, scripting, and security testing practices"
"Test Lead, ieMR Program",Metro North Hospital & Health Service,Fortitude Valley QLD,Full time,"$121,360 - $129,998","Lead system integration and regression testing activities • Collaborate with teams and stakeholders for test preparation and resolution • Contribute to test planning, automation, and service improvement opportunities"
CSO - Test,Affinity Education Group,Brisbane QLD,Part time,,Back to job listing
Performance Tester,eTeam,Sydney NSW,,,"Performance testing for web applications using Jmeter, Functional and NFR test automation, CI/CD, Jenkins, GITHUB"
Enterprise Integration Tester,Pinaka Technology Solutions,Canberra ACT,Full time,,"Design and execute integration test plans for APIs and pipelines • Automate deployment processes and manage configuration of environments • Collaborate with stakeholders, ensure compliance with security standards"
Solutions Engineer,Compas,Canberra ACT,Contract,,"Support Engineering Assurance process with project documents and solutions • Develop Systems Engineering Designs and repeatable design patterns • Skills in M365, D365, power apps and multiple cloud technologies"
Tester,Elysium Digital,Canberra ACT,Contract,,"Analyze project requirements and technical specifications for software behavior • Create test plans, execute tests, report defects, and collaborate • Experience with functional and non-functional testing at Level 5"
Workshop Engineer (IT Hardware),Interactive Pty Ltd,Brisbane QLD,Full time,,"Testing enterprise IT parts and systems in workshop setting • Requires IT certification, customer-facing experience, and willingness to learn • Opportunity to work with top IT vendors and access learning academies"
Test Analyst,Talenza,Eveleigh NSW,Contract,,"Design, write, and execute test cases across various applications • Collaborate with developers, testers, and stakeholders in Agile environment • 5+ years' experience in software testing; strong attention to detail"
Test & Evaluation (T&E) Engineer,Arrpwere Consulting,Canberra ACT,Contract,,"Generate test artefacts and execute test events for materiel delivery • Qualifications in testing, SAFe® Practitioner certification required • Define verification strategy, prepare reports, support test events"
Test Analyst,Informatech,Canberra ACT,Full time,,"Provide test assurance and execution for Defence projects • Manage requirements, test cases, and defects using Defence standards • Utilize automation tools for efficient validation and CI/CD integration"
Test anlayst,NCS Australia Group,Sydney NSW,Full time,,Validate service workflows in OSS/BSS systems for mobile delivery • Collaborate in Agile environment for defect resolution and automation efforts • Experience in telecom product testing and test automation tools
EUC Engineer- Technical SACM Officer (On-site),NEC,Darwin NT,Full time,,"Lead SACM, Staging, and Mobile Teams for IT asset management • Ensure compliance with SACM processes and ITIL guidelines • Drive process improvements, maintain accurate records, and mentor teams"
5 Enterprise Integration Performance Testers,Balance Recruitment,Canberra ACT,Contract,,Design and execute integration test plans for complex multi-system environment • Automate CI/CD pipeline deployments using Azure DevOps and Jenkins • Collaborate with cross-functional teams to align DevOps practices
ICT Test Analyst,Calytrix Technologies,Canberra ACT,Full time,,"Develop, execute, and report test plans for simulation training solutions • Quality assurance experience in structured test environment required • Minimum NV1 Australian security clearance (NV2 preferred) needed"
Systems Engineer,Kirra Services,Canberra ACT,,,"Develop Capability Need Documentation Suite for Enhanced Quality of Life • Conduct capability and concept development, requirements analysis and V&V • Author operation concept, system specification, acceptance test documents"
SOCTN Systems Engineer,Aris Zinc Group Pty Ltd,Canberra ACT,Full time,,"Tertiary qualifications in relevant engineering field with 5-7 years experience • Experience in system testing, validation, and quality assurance required • Excellent communication skills and ability to create technical documentation"
EOI: Senior Test Engineers,Informatech,Canberra ACT,Full time,,"Senior Test Engineers for Defence programs with NV1/NV2 clearance • Design, execute, and report on structured testing activities independently • Experience in V&V, SIT, Defence Capability Life Cycle required"
ICT Support and Test Engineer,Northbridge Recruitment,Tamworth NSW,Full time,"$106,400 - $106,400","Provide tier 2/3 support for hardware, software, and network • Develop, execute, and document test plans for systems and applications • Bachelor’s degree in IT or Computer Science with 1+ year experience"
Application Engineer,NEC,Darwin NT,Full time,,"2+ years experience in application packaging • Knowledge of Microsoft Configuration Manager and Adaptiva on Windows • Experience with troubleshooting, Powershell, SQL, and ITIL processes"
Test Engineer - Embedded systems and applications,Reece Group,Bayswater VIC,Full time,,"Design, implement, and execute test strategies for embedded systems • Perform functional, integration, regression, and usability testing • Experience with test automation tools, Git, and communication protocols"
Test Analyst,Whizdom,Canberra ACT,Contract,,"Provide guidance on methods, tools, policies, and standards • Conduct audits, plan and drive testing activities in projects • Minimum 5 years experience, strong documentation skills, complex projects"
Level 2 L2 IT Support Helpdesk Technician | Newcastle,Information Management Integration (IMI),Newcastle NSW,Contract,,"Provide onsite & remote IT support in corporate environment • Minimum 12 months experience in IT Support/Help Desk role • Strong technical background in Windows OS, hardware/software support"
ICT Support Technician & Test Engineer,Digi Tech Lab,Hurstville NSW,Full time,"$76,000 - $77,000","Resolve software and hardware issues for clients and staff • Manage IT equipment, software, and network administration tasks • Perform system testing, quality assurance, and cybersecurity management"
Desktop Support Technician (NV1),Aurec Group,Canberra ACT,Permanent,,"Manage deployment, maintenance, and disposal of desktop equipment • Diagnose and resolve hardware faults on desktop and peripherals • Provide Windows 11 support and perform system administration tasks"
Test Engineers/Test Managers - Data - Infrastructure - Federal Government,Hitech Asia Pacific,Canberra ACT,Contract,,"Design, build, and test ICT operating systems • Manage testing of non-functional requirements and compliance • 3-5 years experience in Test Engineer or Test Manager role"
"Coalition Support, ACT",Infopeople,Canberra ACT,,,"Experience in ICT change management, cyber security, project coordination • Certifications like CEH, CISM, CompTIA Security+, ITIL required • Strong stakeholder engagement, Defence experience, NV1 security clearance needed"
Test and Evaluation Engineer,Clicks IT Recruitment,Burnie TAS,Contract,,"Test and validate software and hardware systems on mining machines • Develop test plans, troubleshoot issues, and support customer demos • Degree in engineering or computer science, testing experience required"
Project Test Lead,Informatech,Canberra ACT,Full time,"$120,000 - $150,000",Lead multi-skilled Testing Team for Defence technical initiatives • Develop and manage artefacts for Defence T&E activities • Minimum 5 years experience in application-focused Test and Evaluation
Testing and Evaluation Engineer,Downer,Canberra ACT,Full time,,"Define verification strategy and propose scenarios for cybersecurity projects • Certified SAFe® Practitioner with experience in HP ALM or JIRA • Hold Security clearance, strong communication skills, and AT&E knowledge"
Adelaide-Senior Consultant-Quality Engineering,Planit Testing,Adelaide SA,,,"Lead large teams in delivering quality-testing solutions • Mentor teams, drive continuous learning, and shape quality standards • Architect enterprise-wide quality policies and drive full-lifecycle enhancements"
Test Manager - Defence,Select Aust Sydney,Hume ACT,Full time,,Lead software testing to enhance engineering output and product quality • Manage integration and test environments for systems verification • Require tertiary qualification in Software or Electronics Engineering
Technical Support Specialist,BDNA Group,Brisbane QLD,Full time,,"Provide technical support via phone, email, and remote tools • Minimum 3 years experience in technical or application support • Proficient in SQL, Microsoft Azure, and ITIL-aligned incident management"
Test Engineer,Whizdom,Canberra ACT,Contract,$140 - $160,Test Engineer with Positive Vetting security clearance required • Develop and execute testing plans for ICT infrastructure solutions • Manage testing and reporting of network infrastructure components
ETL Test Analyst,Wipro,Sydney NSW,,,"Experienced in ETL testing with 5+ years in SQL, Control-M • Skilled in data warehousing, JIRA, Confluence for testing and reporting • Mandatory skills include ETL Testing with 3-5 years experience"
Systems Engineering Support,Kirra Services,Canberra ACT,,,Baseline clearance or above required for remote work • Specialized in systems and software engineering with Level 3 Practitioner • Strategic communication with Defence ICT community for system acceptance
Test Analyst,Calleo,Canberra ACT,Contract,$90 - $100,Execute test plans and report against them in project teams • Develop acceptance criteria based on business objectives and requirements • Proficiency in Microsoft Test Manager and Azure DevOps tools required
Analyst Quality Engineer,Leaders IT,Melbourne VIC,Permanent,"$80,000 - $95,000","Design, code, test, and install applications programs across platforms • Analyze business processes, develop solutions, and provide support • Undertake complex testing activities to ensure software meets specifications"
ServiceNow Tester,Peoplebank,Melbourne VIC,Full time,"$100,000 - $100,000","Execute detailed test plans and manage defects using Azure DevOps • Collaborate with client teams for UAT and integration testing • 1-2 years testing experience in ServiceNow, NV1 Security Clearance required"
Gen AI Testing Consultant,Wipro,Melbourne VIC,,,"Lead testing transformation across functional, automation, performance domains. • Implement and scale Gen AI solutions for enhanced testing efficiency • Mentor testing leaders, serve as thought leader in testing lifecycle"
