title,company,location,job_type,salary,description
Site Reliability / Gitops Engineer,Canonical,Adelaide SA,Full time,,"Develop infrastructure as code practice, automate software operations • Maintain and improve core services, networks, and infrastructure • Collaborate with global teams, troubleshoot, and provide operational support"
Senior Site Reliability / Gitops Engineer,Canonical,Adelaide SA,Full time,,"Develop automation and Gitops for IT production services • Collaborate with IS architect on infrastructure solutions • Experience with Kubernetes, Python, Linux, and cloud computing"
Engineering Manager - Python and K8s,Canonical,Adelaide SA,Full time,,"Lead regional team in productising business workloads on Kubernetes • Experience in Docker, Python, and software engineering background required • Develop and grow team, maintain quality culture, and embrace new technologies"
Embedded Linux Field Engineer for Devices/IoT,Canonical,Adelaide SA,Full time,,"Extensive Linux experience with Debian or Ubuntu preferred • Solid embedded Linux experience with Yocto, Buildroot • Bachelor's degree in Computer Science or related technical field"
System Analyst,People's Choice Credit Union,Adelaide SA,Full time,,"As a System Analyst, Product Originations, you will be a subject matter expert (SME) for lending (loan assessment and processing,..."
Engineering Manager - Ubuntu Security,Canonical,Adelaide SA,Full time,,"Lead team of engineers in developing new security projects • Provide technical guidance on vulnerability remediation and lifecycle handling • Drive collaboration with other teams, stakeholders, and customers"
Sage Intacct Project Consultant,Purple Patch Consulting,Adelaide SA,,,"Lead Sage Intacct implementations and project teams • Minimum 3 years ERP experience, Sage Intacct implementation preferred • Bachelor's degree in relevant field, 30% travel required"
Entry Level Web Developer,Bickford's Australia,Salisbury South SA,Full time,,"Support Senior Developer in designing and building modern websites • Write clean front-end code, troubleshoot issues, and assist with eCommerce • Bachelor's degree in computer science or related field preferred"
Software Analyst - AIR6500,Lockheed Martin,Mawson Lakes SA,Full time,,Contribute to building CI/CD and DevSecOps infrastructure • Knowledge and experience with Version/Artifact control tools like GitLab • Assist in automation of software builds and maintenance of processes
State Manager,Brennan,Wayville SA,Full time,,"Lead sales team to achieve revenue targets and customer satisfaction • Manage largest and complex sales opportunities, engage with CxO level • 15+ years sales experience in IT solutions, 5+ years in people management"
Senior Project Manager - Ubuntu Embedded Systems,Canonical,Adelaide SA,Full time,,"Manage complex customer-facing projects for Ubuntu embedded systems • Coordinate project delivery between engineering teams and customers globally • Require PMP/PMI or PRINCE2 certification, tech/engineering background preferred"
Site Reliability Engineering Manager,Canonical,Adelaide SA,Full time,,"Lead daily agile devops practices and internal projects • Mentor engineers, ensure team focus, and meet service level agreements • Drive software delivery, manage devops teams, and maintain code quality"
Finance Manager,Arxis Group Pty Ltd,Adelaide SA,Full time,"$90,000 - $100,000","Manage payroll, invoices, financial reports, and internal ledgers • Support budget preparation, BAS/IAS lodgement, and cashflow activities • Minimum 3 years Xero experience, CA/CPA qualification desirable"
IT Service Desk Analyst,Grant Thornton,Adelaide SA,Part time,,"Provide first-line support for incidents, requests, and hardware/software issues • Collaborate in a team environment, with deep Microsoft Windows knowledge • Part-time 6-month contract role in Adelaide office, 4 days/week"
Test Automation Engineer,B Braun,South Australia,,,"Automate test cases for healthcare interoperability with various interfaces • Collaborate with team to resolve integration challenges. • Experience in API and GUI testing, cloud services, and CI/CD"
Learner Insights Developer,Data#3,Adelaide SA,Contract,,"Develop web applications using .NET framework and SQL in Oracle • Create and manage SSIS packages for data transformation/migration • Collaborate with teams, influence stakeholders, agile experience preferred."
Solution Architect,Texture Consulting,Adelaide SA,Contract,,"Expertise in Operational Technology and Australian Energy Generation • Strong understanding of architecture frameworks, methodologies, and governance • TOGAF certification and experience with architecture patterns and blueprints"
"Web Frontend Engineer - JS, CSS, React, Flutter",Canonical,Adelaide SA,Full time,,"Develop data-rich user experience using JS, CSS, React, Flutter • Contribute to open-source React toolkit and Vanilla Framework • Engage in technical advocacy, community building, and software operations"
Systems Integration and Test Engineer,Lockheed Martin,Mawson Lakes SA,Full time,,"Design and integrate cutting-edge software and ICT systems • Lead agile teams in technical planning, coding, and problem resolution • Tertiary qualifications in Engineering or equivalent experience required"
Commercial Account Executive,Okta,Adelaide SA,Full time,,"Drive territory growth through net new logos and existing customers • Establish and execute account strategies to generate pipeline and sales • 6+ years experience in enterprise SaaS products, C-suite sales"
Product Support Engineer,Micro-X,South Australia,Full time,,"Our products impact lives. From cutting-edge medical devices to security solutions, we are at the forefront of technology. When you join..."
Account Manager,VInet Solutions,Eastwood SA,Full time,,"Based in Adelaide, this is not just another boring IT Account Manager role. Do you get a buzz out of helping your clients business grow..."
Technical Consultant - End User Experience,Brennan,Adelaide SA,Full time,,"Lead technical delivery of modern workplace projects for clients • Mentor consultants, define project scope, and support presales process • Minimum 5 years IT project consultant delivery experience required"
Senior Engineer - ITSI,Michael Page,Hawthorn SA,,,"Develop, implement, and maintain IT systems and solutions to support retail operations. Provide technical expertise and guidance to..."
Experienced PHP API Developer,Paxus,Adelaide SA,Full time,,"Develop secure, fast, and resilient APIs with PHP8+ • Collaborate with designers, product managers, and backend developers • Experience with Symfony, SQL, OpenAPI, and version control"
ERP Lead,Nova Systems Australia and New Zealand,Adelaide SA,Full time,,"Lead global ERP platform strategy aligned with business goals • Manage end-to-end ERP projects, integration, and compliance • Need ERP implementation, Oracle knowledge, project management"
Adabas Database Administrator,Talent International,Adelaide SA,Permanent,,"Maintain, monitor, and optimize Adabas database systems • Plan and implement upgrades, patches, and disaster recovery procedures • Bachelor’s degree in computer science, 5+ years experience required"
Sales Engineer,Surfacing Contractors Australia,Hindmarsh SA,Full time,"$100,000 - $120,000","Act as technical bridge between client needs & surfacing solutions • Utilize CRM software, presentation skills for client satisfaction • Proven sales achievements with diverse client requirements"
ICT & Systems Support Officer,MBL,Athol Park SA,Full time,,"Provide Tier 1-2 IT support for hardware, software, applications • Assist with training, testing, and documentation for key applications • Build relationships across MBL sites, balance tech support, process improvement"
Development Pipeline Engineer,Saab,Adelaide SA,Full time,,"Design, develop, and deploy development pipelines and infrastructure • Tertiary qualifications in software engineering or related field required • Experience with Jenkins, Ansible, Docker, and Linux essential"
Business Development Manager,Harrison McMillan,Adelaide SA,Full time,,"Drive B2B sales, lead client engagement, and secure new opportunities • Create partnerships, customize software, and generate leads • Collaborate with technical teams, share market feedback, and shape strategy"
Firmware Engineer,Certus Recruitment Group,Adelaide SA,Permanent,"$140,000 - $160,000","Design, develop, and maintain embedded software for IoT modules • Integrate IoT firmware with hardware components and perform testing • Bachelor's/Master's in computer science or electrical engineering required"
"IT Support Specialist – L2 – Adelaide, South Australia",Axiom Technologies,Adelaide SA,Contract,,"Provide user support for computer systems, software, and hardware • Manage network infrastructure, software applications, and security measures • Conduct training sessions, create documentation, and handle VIP calls"
OTR HR - People Systems Specialist,OTR Group,Kensington and Norwood SA,Full time,"$100,000 - $120,000","The People Systems Specialist is responsible for supporting the organisation’s P&C Systems, with a particular focus on Dayforce,..."
"Embedded IoT / Edge Solutions Sales Representative, Manager and Director",Canonical,Adelaide SA,Full time,,"Sales role in expanding Ubuntu Core in mission-critical industries • Requires technical background in embedded Linux and RTOS • Responsible for prospecting, account development, and achieving sales targets"
Customer Success Manager (Syft Analytics),Xero,South Australia,Permanent,,"Manage customer relationships and provide technical support • Onboard, advise, and retain customers in English-speaking markets • Commerce degree, customer support experience, tech understanding required"
Sales Director,BlackStone eIT,South Australia,,,"Lead sales team to achieve revenue targets and growth strategy • 10+ years sales management experience, 3+ years in leadership role • Bachelor's degree in Business Administration or related field required"
Senior Business Intelligence Analyst - PowerBI & SAP,TRC Group,Dublin SA,,"$75,000 - $85,000","Utilize BI tools like SAP BusinessObjects, SAP BW, and S/4HANA • Create reports and dashboards with Power BI for decision-making • 5-8 years BI experience, strong in Power BI, SAP Analysis"
Consultant - Expression of Interest,Bailey Abbott,Adelaide SA,Permanent,,"Opportunity to work on diverse projects in various industries • Engage in digital transformation initiatives with active community support • IT qualification, consulting experience, industry certifications required"
Data & Onboarding Analyst,Cowell Clarke,Adelaide SA,Full time,,Support business decisions through advanced data analysis • Design and maintain dashboards using Power BI or similar tools • Coordinate client onboarding and maintain internal process documentation
Graduate - IT Support (Start ASAP),Prosple,Adelaide SA,,,"Provide first-line IT support for hardware, software, network issues • Bachelor’s degree in IT or related field required • Familiarity with Microsoft 365 apps and basic troubleshooting skills"
Systems Engineer & Desktop Support,Rembrandt Living,Hillcrest SA,Full time,"$60,000 - $80,000","Manage and support enterprise systems and digital infrastructure • Act as second line escalation point for technical incidents • Tertiary IT qualifications, Microsoft Azure, ITIL certification required"
Network Architect Administrator,Kirra Services,Adelaide SA,,,"Design and implement secure network infrastructure with Linux and Windows • Develop and maintain governance documentation for network accreditation • Manage network services, identity, storage, and productivity services"
"Program Coordinator, Chief Information Officer Division",Australian Electoral Commission,Adelaide SA,Full time,"$94,603 - $106,034","Provide admin support for strategic objectives and governance reporting. • Manage high volumes of work, stakeholder engagement, and IT tools • Demonstrated work experience in project management or business administration"
2026 KPMG Vacationer/Intern Program (Rolling Intake) – Technology and Digital,KPMG,Adelaide SA,Full time,,Engage in real-world problem-solving with experienced professionals • Join a structured vacationer program for second last year students • Opportunities for direct entry into the graduate program post-internship
Systems Analyst,Seven Migration,Parkside SA,Full time,"$80,001 - $100,000","Develop, implement, and enhance IT systems for KWY • Analyze system data, advise on technical requirements, and support integration • Bachelor's degree with 1 year experience or 5 years experience"
Vacancy for Digital Preservation Technical Analyst at State Library of South Australia,Digital Preservation Coalition,Adelaide SA,Contract,,Utilize legacy and forensic systems for data analysis and identification • Develop and implement ingest and migration workflows with scripting • Collaborate with Preservica Group to steward digital heritage collections
Graphic designer,Signarama,Whyalla Norrie SA,Full time,,"Create high-impact designs for signage, print, and promotional materials • Collaborate with clients, sales team, and production staff on projects • Experience with Adobe Illustrator, Photoshop, CorelDRAW or similar software"
Test Analyst | Journey Beyond,Journey Beyond,Adelaide SA,Full time,,"Joining the Journey Beyond family, you will play an integral role in supporting our business as we continue to share special places and..."
Customer Delivery Manager - Oracle,DXC Technology,Adelaide SA,Full time,,Lead ERP projects focusing on Oracle and related platforms • Manage client relationships and ensure project success • 8+ years in enterprise software consulting with Oracle ERP expertise
Lead Hardware Engineer,Lockheed Martin,Mawson Lakes SA,Full time,,"Lead team in designing, developing, and integrating electrical systems • Minimum 8 years experience in defence or aerospace hardware engineering • Proficiency in CAD software, strong problem-solving and communication skills"
Partner Consultant,Xero,South Australia,Permanent,,"Support Accounting and Bookkeeping firms in adopting Xero platform • Deliver technical education, project management, and implementation support • Collaborate with teams, cultivate partnerships, provide feedback."
Gaming Analyst,SKYCITY Adelaide,Adelaide SA,Full time,,"Lead financial and operational analytics for Gaming business • Utilize statistical analysis and financial reporting with software. • Tertiary degree needed; strong communication, confidentiality skills"
Junior Systems Administrator,Acacia Systems,Hendon SA,Full time,,"Support hybrid Linux and Windows environment with automation tools • Collaborate with engineering teams on CI/CD pipelines and workflows • Maintain documentation, improve IT practices, and enhance cyber resilience"
Graduate Technical Support,Give A Grad A Go,Adelaide SA,,"$73,275 - $73,275","Are you looking for a kickstart in your IT career? Passionate about Information Technology or Electronics, and hoping to launch your..."
24x7 Adelaide Service Desk Shift Team,DXC Technology,Adelaide SA,Full time,,"Provide Level 1 & 2 IT support via various channels • Troubleshoot hardware, software, and network issues promptly • Shift flexibility with penalty rates for night work available"
Training Systems Operations Specialist,Boeing,Edinburgh SA,,,BDA is looking for a Training Systems Operations Specialist who will join the P-8A Poseidon Training team. In this role you will provide...
Project Systems Support Administrator,Torrens to Darlington Alliance,Adelaide SA,Full time,,Provide daily user support and system maintenance for project applications • Administer and manage project SharePoint site; conduct systems audits • Experience in systems/applications support role with strong communication skills
Aurizn Early Careers Program,Aurizn,Adelaide SA,Full time,,"Join Aurizn's Early Careers Program for Software Engineering/Data Science • Three stages: 12-week internship, 'earn and learn', graduate employment • Hands-on experience, guidance, networking, and career growth opportunities"
SysMod Test Analyst,Elders Rural Services,Adelaide SA,Full time,,Design and execute testing plans for software development projects • Collaborate with partners and System Integrators in agile environments • Minimum 3 years' experience in manual and automated testing
Graduate Sales Development Representative,Canonical,Adelaide SA,Full time,,"Collaborate with sales and marketing teams to find customer projects • Handle inbound inquiries, execute outbound campaigns, and attend events • Excellent academic background, passion for tech, and result-driven mindset"
Business Services Team Manager,Canonical,Adelaide SA,Full time,,"Lead global team in travel, logistics, event planning • Manage expense policies, budgeting, and procurement operations • Coordinate company events, ensure compliance, and provide EA services"
Cyber Architect Expression of Interest,Lockheed Martin,Adelaide SA,Full time,,Provide guidance on security measures & enhancements to stakeholders • Experience in systems engineering lifecycle & cyber security initiatives • Implement Information Security Manual or NIST SP 800-53 controls
"Desktop Support Officer -Adelaide, South Australia",Axiom Technologies,Adelaide SA,Contract,,"Provide Level 2/3 desktop support for end users • Troubleshoot Windows, Office, and 3rd party applications • Strong analytical skills, IT qualifications, and client management abilities"
Service Delivery Manager / Project Manager,Sirius People,Adelaide SA,Permanent,"$160,000 - $180,000","Lead service delivery for core banking application • Manage project team, resources, and stakeholder relationships effectively • 5-8 years SDM or Project Management experience required"
IT Transformation Officer,Anglicare SA,Adelaide SA,Full time,"$15,900 - $15,900",Lead IT transformation initiatives aligning with aged care goals • Implement technology solutions to enhance service delivery and efficiency • Collaborate with stakeholders to drive digital adoption and alignment
Senior Consultant - RHEL,Red Hat,Adelaide SA,Full time,,"Provide technical expertise and solutions for enterprise customers • Specialize in Red Hat Infrastructure technologies and Automation products • Required: RHCE certification, experience with RHEL, Ansible, AAP"
Environment & Release Lead,ACH Group,Mile End SA,,"$15,900 - $15,900","Lead end-to-end release cycles and deployments with CI/CD • Optimize workflows using Copado, Jenkins, and GitHub Actions • Ensure environment stability and troubleshoot deployment issues"
SharePoint & Power Platform Developer,Centacare Catholic Community Services,Adelaide SA,Full time,,"Join us as a SharePoint & Power Platform Developer and lead SharePoint innovation, automate workflows, and drive impactful digital..."
Support Engineer,Orbitel Technologies,Adelaide SA,Full time,,"Provide fast and friendly IT support to clients • Troubleshoot hardware, software, and networking issues remotely • Maintain documentation, perform maintenance tasks, and offer proactive support"
Linux Cryptography and Security Engineer,Canonical,Adelaide SA,Full time,,Enhance Linux cryptographic components for FIPS and CC certification • Collaborate with external partners to develop security hardening benchmarks • Contribute to Ubuntu mainline and upstream projects for community benefit
Cloud Solutions Specialist,Leader Computers,Adelaide SA,Full time,,"We are currently seeking a Cloud Solutions Specialist to join our Adelaide team. If you’re passionate about cloud technology, love..."
Implementation Specialist,Simpro,Adelaide SA,Full time,,"Deliver software training and onboarding programs for new clients • Provide data & design services, collaborate with senior staff • Strong understanding of business workflows in trade-based environments"
Electrical/Electronics Engineer,Romcor,Edinburgh SA,Full time,,"Develop embedded software for ARM Cortex-M, STM32, ESP32 systems • Design hardware platforms using STM32, ESP32 microcontrollers • Proficient in C/C++, FreeRTOS, ESP-IDF frameworks; KiCad experience"
IT Systems Engineer,Detmold Group,Adelaide SA,Full time,,"Manage SharePoint, MS Teams, and Power applications effectively • Troubleshoot network, hardware, and software issues proficiently • Experience with Office 365, Azure, Server administration required"
Junior IT Support,Give A Grad A Go,Adelaide SA,,"$73,275 - $73,275","Provide installation, maintenance, and repairs to customer equipment • Communicate professionally with clients and escalate unresolved issues • Requires Certificate III or Degree in Electronics/Information Technology"
Payment Business Analyst (Product Owner),Transaction Network Services (TNS),Adelaide SA,Full time,,"Expertise in card payments, alternative methods, and industry standards • Translate business needs into technical requirements, manage product backlog • Collaborate, design payment API, ensure compliance with stakeholders"
Sales Specialist,TeamViewer,Adelaide SA,Full time,,"Engage with leads, provide tailored solutions, and conduct online demos • Meet and exceed revenue targets, maintain CRM accuracy, identify opportunities • Minimum 2 years sales experience, strong communication skills, MSP background"
Cyber Security Systems Engineer,Saab,Adelaide SA,Permanent,,"Contribute to system development, integration, and maintenance • Manage security documentation, conduct risk assessments. • Defense clearance, cybersecurity experience, relevant certifications needed."
JUNIOR-MID IT TECHNICIAN,Stellar Digital - Tech,Gawler SA,Full time,,"Provide IT support to SMEs, both remote and onsite • Manage Microsoft 365 products, operations, migrations, setup • Strong communication skills for client interactions and technical support"
Senior Network Engineer,Compnow,Marleston SA,Full time,,"Provide technical services in networking, cybersecurity, and systems engineering • Coordinate with stakeholders, meet deadlines, troubleshoot technical issues • Senior Network Engineer with vendor certifications, Australian residency"
IT Help Desk (Start ASAP),Prosple,Adelaide SA,,,"First-level support for national teams via various channels • Troubleshoot software, hardware, network, and Microsoft 365 issues • Deploy new PCs, decommission old equipment, and maintain documentation"
MuleSoft Integration Engineer,Capgemini,Adelaide SA,Permanent,,"4+ years experience in Integration using API/Middleware products • DevOps and platform automation experience with GitHub, Azure DevOps • Architectural understanding in Integration, APIs, event-driven architecture"
"Coding Manager, Pregnancy Outcome Unit",SA Health,Adelaide SA,Contract,"$85,790 - $95,413","Ensure quality and timely outcomes for Pregnancy Outcome Unit • Coordinate data suppliers, software upgrades, and staff recruitment/training • Communicate with customers, create technical and status reports"
TECHNOLOGY SUPPORT ADMINISTRATOR - MARLESTON,Beaumont Tiles,Marleston SA,Permanent,,"Provide technical support via phone and digital channels • Troubleshoot and resolve technical issues across various platforms • Maintain IT hardware, software, systems, and uphold cybersecurity practices"
Control Systems Engineer,Alliance Automation,Wayville SA,Full time,,"Design, implement, and test control system solutions across technologies • Prepare project documentation and provide technical support to clients • Solid understanding of engineering principles and hardware/software development"
Project Controls Manager,Turner & Townsend,Adelaide SA,Full time,,"Lead team of Project Controls Specialists in infrastructure program • Manage cost, schedule, risk, and reporting functions for precinct • Require Australian Citizenship and experience in consultancy environment"
DevSecOps Engineer,Consunet,Adelaide SA,Full time,,Join us as a DevSecOps Engineer and help embed security into every stage of modern software delivery. This is a chance to go beyond tech...
Site Reliability Engineer (APAC),Dtex Systems,Adelaide SA,Full time,,"Contribute to operational improvements and architecture • Technical skills in Kubernetes, AWS, Python, and Terraform • 3+ years experience in cloud environments with automation focus"
Senior Systems Engineer,Micro-X,South Australia,Full time,,Bachelor's degree in engineering with 5+ years experience • Developing and implementing Systems Engineering Management Plan • Collaborating with cross-functional teams and external partners
Systems Verification & Validation Engineer,Lockheed Martin,Mawson Lakes SA,Full time,,"Lead V&V activities for high-profile defence program • Develop V&V digital thread and manage system-level verification • Degree in Engineering, experience in Defence systems engineering"
Cyber Security Systems Engineer,Saab,Adelaide SA,Full time,,"Develop and maintain security Assessment and Authorization documentation • Conduct threat and risk assessments, recommend treatment controls • Cyber Security Engineer with certifications, defense clearance"
DevSecOps Engineer,Cleared ICT,Adelaide SA,Permanent,,"Design, build, and maintain secure DevSecOps pipelines in cloud • Collaborate with Product Owners for high-value DevSecOps capabilities • Bachelor's in STEM, 1-4 years' software development experience required"
Customer Delivery Project Manager (Defence),Acacia Systems,Hendon SA,Full time,,"Lead delivery of defence projects, ensuring customer expectations met • Oversee customer interactions, project documentation, stakeholder relations • 5+ years project management experience, security clearance required"
AI/ML Engineer,Cleared ICT,Edinburgh SA,Contract,,"Design, build, and test scalable ML platforms and pipelines • Collaborate with Defence scientists, AI researchers, and platform engineers • Deploy ML models in secure ICT environments following MLOps practices"
SysMod Test Analyst,Elders Rural Services,Adelaide SA,Full time,,Design and execute testing plans for enterprise software delivery • Collaborate with ERP Delivery Leads and System Integrators in testing • Minimum 3 years' experience in manual and automated testing
AGSVA Cleared ICT Professionals (Adelaide) - EOI,KBR,Adelaide SA,Full time,,AGSVA-cleared ICT Professionals in Adelaide or open to relocation • Required AGSVA Negative Vetting 1 Security Clearance (NV1) • Opportunity to work on defence projects with diverse team
Senior Manager IT & Cyber Security,Mansfield & Co Recruitment,Osborne SA,Full time,,"This is a newly created position — giving you the scope to shape it, elevate the IT function, and set the tone for how technology..."
Senior Cloud Engineer,Brennan,Adelaide SA,Full time,,The Senior Cloud Engineer are delivery-focused technology experts who serve as trusted advisors to clients. They lead technical aspects...
Business Development Manager,FUJIFILM,Adelaide SA,,,"Drive new customer acquisition and business growth in South Australia • Collaborate with internal stakeholders and strategic partners for sales success • Proven track record in B2B sales, managing complex sales cycles"
Global Service Plan Engineer,Rain Bird,Milang SA,,,"The Associate Service Engineer provides remote technical support to Rain Bird Customer in the US, Canada and South America. The ideal..."
Team Leader,Emali,Underdale SA,Full time,,Lead and manage team to ensure high performance and productivity • Collaborate with team to establish goals and work plans • Bachelor's degree or equivalent work experience in relevant field
"Desktop Support Officer(Part-time) – Olympic Dam,South Australia",Axiom Technologies,Roxby Downs SA,Part time,,"Provide on-site/on-call assistance in desktop computing environment • Resolve computer OS/peripherals issues, provide printer support • Require IT qualifications like CompTIA A+, MCITP, MOS certifications"
Junior IT Support Aanalyst,TRC Group,Dublin SA,,"$35,000 - $40,000","Troubleshoot Office 365 connectivity and user accounts • Provide first-line IT support for hardware and software • Bachelor’s degree in IT or related field, 1-2 years experience"
Senior CRM,BlackStone eIT,South Australia,,,Enhance CRM strategies for customer engagement and retention • Collaborate with departments to optimize CRM tools and applications • Experience with Microsoft Dynamics 365 and data analysis required
Graduate AgTech - Commercial Manager,Discovery Ag,Paskeville SA,Full time,,"Install & maintain on-farm monitoring gear, demo software insights • Partner with leading agtech practitioners, sell products, shape future • Ideal for Ag Science, Agronomy, Engineering graduates, outdoor enthusiasts"
IT Technician,Iron Mountain,South Australia,Full time,,"Provide technical support for PCs, peripherals, and software • Maintain customer satisfaction and adhere to SLAs and KPIs • Associate or bachelor's degree in IT, 1-2 years experience"
Test and Evaluation Engineer - Multiple Opportunities,Nova Systems,Adelaide SA,,,"Plan, coordinate, and execute test and evaluation activities • Engage with stakeholders, evaluate data, and provide technical feedback • Australian Citizenship, T&E qualification, Defence T&E experience required"
Sales Development Representative,Valsoft Corporation,Adelaide SA,,,"Identify and qualify potential leads for POS solutions • Engage with clients, conduct product demos, and build relationships • Collaborate with Sales and Marketing teams to achieve revenue goals"
Business Process Analyst: SSN AUKUS Build Program,ASC,Osborne SA,Full time,,"Develop and maintain quality assurance process models aligned with objectives • Collaborate with employees for process improvement and compliance • Tertiary qualifications in Business, Engineering, or IT required"
Implementation Specialist,Honeywell,Adelaide SA,Full time,,"Expert in Sine products, onboarding clients, and providing guidance • Resolve client queries, maintain relationships, and manage projects • Experience in SaaS environment, strong communication skills, project management"
Graduate Engineers,SAGE Automation,South Australia,Full time,,Join leading industrial automation company for real-world projects • Opportunity for professional and technical learning with ongoing mentoring • Hiring recent electrical engineering graduates or equivalent qualifications
Senior Technical Consultant,Harrison McMillan,Adelaide SA,Full time,,"Deliver advanced technical expertise and strategic guidance to clients • Act as senior escalation point for high-impact incidents • Mentor junior engineers, promote documentation, drive improvement"
Systems Engineer | Adelaide,Datacom,Adelaide SA,Full time,,"Support technical infrastructure and corporate systems for Datacom Business • Engage with customers at all levels, from technical staff to executives • Minimum 3+ years experience in similar role and environment"
Senior Machine Learning Engineer - Canva AI,Canva,Adelaide SA,,,Develop scalable conversational AI platform for diverse use cases • Fine-tune LLM-based models to enhance performance and user experience • Collaborate with cross-functional teams to deliver impactful AI features
Invigilator (Adelaide),IDP Education,Adelaide SA,Casual,,"Provide exceptional customer service throughout test journey • Manage test day operations, documents, and technical troubleshooting • Ensure compliance with IELTS standards and maintain confidentiality"
Network Systems Administrator,Consunet,Adelaide SA,Full time,,"Design, maintain, and optimize secure network infrastructure • Troubleshoot and resolve issues to ensure resilience and performance • Experience in network and systems administration in high-compliance environments"
Business Development Manager,Brennan,Adelaide SA,Full time,,"Identify, develop, and close new business opportunities in South Australia • Leverage existing relationships to drive new business and partnerships • Minimum 5+ years' IT sales experience; C-suite level presentations"
Systems Technician,Light Social Enterprise Pty Ltd,Adelaide SA,Full time,,"Operate and maintain LED screens, audio equipment for events • Develop systems for content creators, provide IT support/advice • Qualifications in multimedia, sound operation or equivalent experience required"
Helpdesk Technician,Secure State,Adelaide SA,Casual,$30 - $40,"Provide first-line technical support for IT hardware, software, network • Document all support activities and resolutions in service management system • Minimum 1 year experience in helpdesk or IT support role"
Field Services Engineer SA,Becton Dickinson,Adelaide SA,,,"As Field Service Engineer, you will provide software and hardware support for BD Pyxis, ROWA and Synmed in our retail pharmacy, central..."
Practice Manager,Hays Recruitment,Adelaide SA,Full time,,"Oversee performance analysis, branding, and compliance renewals • Lead IT management, equipment setup, and vendor coordination • Manage administrative teams, HR support, and service trust oversight"
IT Systems and Data Support Specialist,De Bruin Group,Mount Gambier SA,Full time,,"Manage IT infrastructure, telecommunication, and network security systems • Handle cloud data management, data systems, and application configuration • Require tertiary IT qualification, driver's license, and industry experience"
Regional Account Manager,Trend Micro,South Australia,Full time,,The Regional Account Manager (RAM) is responsible for driving new business and acquiring new logos to grow Trend Micro’s footprint in the...
Practice Manager,Hays Recruitment,Adelaide SA,Full time,"$110,000 - $140,000","Oversee performance analysis and strategic planning for firm-wide operations • Lead branding, marketing initiatives, and IT management for Accounting division • Minimum 8-10 years experience as Practice Manager in Accounting Firm"
Account Executive,Riskonnect Inc,Adelaide SA,Full time,,Develop and execute targeted sales plan within existing accounts • Craft compelling sales presentations and value-driven messaging • Collaborate with cross-functional teams to support deal execution
Communications Systems Integration and Test Engineer,Lockheed Martin,Mawson Lakes SA,Full time,,"Lead integration of Communications subsystem with AIR6500 Mission System • Conduct hardware and software integration, V&V activities, and troubleshooting • Tertiary Engineering qualifications, NV-1 clearance, Defense comms"
"2026 Defence Graduate Intake (Electronic Warfare, Modelling & Simulation)",Inovor Technologies Pty Ltd,Edinburgh SA,Full time,,"Join Defence Modelling & Simulation Team on aerospace projects • Develop technical skills in radar systems, electronic warfare, data analysis • Collaborate with Defence partners, work on impactful projects"
IT Field Support Manager,Inghams Enterprises,Burton SA,Full time,,"Lead and develop technology service team across ANZ region • Ensure high-quality, reliable technology services and support delivery • Experience in IT service management, OT, and leadership roles"
Senior Business Analyst - SSN AUKUS,ASC,Osborne SA,Full time,,"Support strategic initiatives and drive whole-of-system improvements • Tertiary qualification in relevant field and Agile environment experience • Manage projects, user testing, and collaborate with stakeholders"
Senior Test Analysts,Harrison McMillan,Adelaide SA,Full time,,"Lead end-to-end testing for software quality assurance • Mentor junior team members and maintain high testing standards • 5+ years' testing experience, proficiency in Postman, automation tools"
Learning Solutions Consultant,McGraw-Hill,South Australia,,,"Achieve revenue targets by promoting digital educational solutions • Develop relationships with key stakeholders in the Education sector • Travel across Saudi Arabia, fluency in English and Arabic required"
SCCM Engineer,Data#3,Adelaide SA,Contract,,"Resolve complex EUC incidents, requests, and problems • Administer Microsoft SCCM for software deployment and patching • Experience in Windows 10/11 administration and troubleshooting required"
Product Security Engineer,BAE Systems,Edinburgh SA,Full time,,Provide technical advice on Cyber and Product Security • Ensure compliance with security standards and accreditation frameworks • Bachelor's degree in Engineering; ITAR clearance required
IT Systems Engineer,Complexica,West Lakes SA,Full time,,"Manage Azure environments & Microsoft 365 services for logistics platforms • Support clients with hybrid infrastructure & system performance optimization • 3+ years Azure experience, MDM knowledge, clear communication skills"
Electronics Project Manager - IoT,Certus Recruitment Group,Adelaide SA,Permanent,"$140,000 - $160,000","Lead firmware/embedded projects from concept to production • Define project scope, plan, and provide regular updates • Expertise in electronics, systems engineering, and project coordination"
Simulator technician II,CAE Inc,St Peters SA,Full time,,"Maintain and enhance performance of world-class flight simulators • Troubleshoot technical issues, conduct FAA testing, support engineering teams • 2-year technical degree, 3 years simulator experience, strong diagnostic skills"
ICT Systems Engineer,BAE Systems,Edinburgh SA,Full time,,"Lead analysis, design, and implementation of ICT scope of work • Experience in defence industry and NV1 Defence security clearance • Contribute to team planning, risk management, and product safety"
Field Service Engineer SA,Becton Dickinson,Adelaide SA,Full time,,"Provide software and hardware support for medical technology products • Diagnose system errors, perform maintenance, and ensure equipment safety • Trades qualification needed; flexible hours."
Web Developer Intern,Study and Work,Adelaide SA,Internship,,Gain hands-on experience in web development with Ruby on Rails • Structured training plan with real-world project specification • Internship offers potential full-time job placement and work experience
